Common Name,Len,Faculty,Len2,Number,Len3,Course Title,Len4,Schedule,Len5,Lecture Hours,Len6,Lab Hours,Len7,Weight,Len8,Description,Len9,Prerequisites,Len10,Corequisites,Len11,Restrictions,Len12,Equates,Len13,Departments,Len14,Offerings,Len15,External Course Codes,Len16,Total
ACCT*4340,9,ACCT,4,4340,4,Accounting Theory,17,W,1,3,1,0,1,0.5,3,"This course will draw on accounting research, primarily empirical research. Rather than covering specific GAAP rules, the course will focus on how investors react to GAAP rules, why financial information is important, and how its use/misuse affects investor decision making and management behaviour. The course is thus about accounting, instead of about how to apply accounting standards. ",389,ACCT*4220,9,,0,ACCT*4240.,10,,0,Department of Management,24,,0,,0,472
ACCT*4350,9,ACCT,4,4350,4,Income Taxation II,18,F,1,3,1,0,1,0.5,3,"An intensive study of the Canadian Income Tax Act and related statutes, this course will focus on the application to the taxation of individuals, partnerships and corporations. A strong emphasis will be placed on compliance and tax planning. ",242,ACCT*3350 or BUS*3350,21,,0,,0,BUS*4350,8,Department of Management,24,,0,,0,336
ACCT*4440,9,ACCT,4,4440,4,Integrated Cases in Accounting,30,W,1,3,1,0,1,0.5,3,"This course will help students develop an analytical approach to analyzing accounting problems and improve professional judgement. Students will apply previously-gained technical knowledge of accounting, tax, assurance, finance, and corporate governance to various financial reporting and advisory problems and scenarios. They will develop an enhanced understanding of the impact of user and preparer objectives on the selection of accounting policies, and accounting estimates in an environment of some uncertainty. ",517,ACCT*4220,9,,0,ACCT*4240.,10,,0,Department of Management,24,,0,,0,613
AGR*1110,8,AGR,3,1110,4,Introduction to the Agri-Food Systems,37,F,1,6,1,0,1,1,1,"This introductory course provides an overview of Canadian and global agri-food systems. Students will be introduced to many different facets of agriculture, including primary production (conventional and organic) of commodity, mid-value and high-value crops, and livestock. Students will explore the agri-food system by tracing consumer end-products back to primary production. Modern, industrial agri-food systems as well as subsistence farming will be discussed. The course incorporates an experiential learning component in which students will explore a new agri-food opportunity for Ontario by designing and assessing the value chain. ",639,,0,,0,"AGR*1100. AGR*1250. Restricted to students in BAH.FARE, BSC(AGR), Minor in Agriculture",86,,0,"Department of Plant Agriculture, Department of Animal Biosciences",65,,0,,0,846
AGR*2050,8,AGR,3,2050,4,Agroecology,11,W,1,3,1,0,1,0.5,3,"This course considers the interactions of all important biophysical, technical and socioeconomic components of farming systems and examines these systems as the fundamental units of study. Mineral cycles, energy transformations, biological processes and socioeconomic relationships are analyzed as a whole in an interdisciplinary fashion. ",339,"(AGR*1110 or AGR*2150), (BIOL*1050 or BIOL*1070)",48,,0,CROP*2110,9,,0,"Department of Plant Agriculture, Department of Animal Biosciences",65,,0,,0,493
AGR*2150,8,AGR,3,2150,4,Plant Agriculture for International Development,47,F,1,3,1,0,1,0.5,3,"This course will provide students interested in international development with an introductory mechanistic understanding of the biology underlying crop production in developing nations. Emphasis will be placed on simple, low-cost solutions from biology that have the potential to aid efforts in international development. This course is accessible to science and non-science students. ",385,4.00 credits,12,,0,AGR*2470,8,,0,Department of Plant Agriculture,31,,0,,0,504
AGR*2320,8,AGR,3,2320,4,Soils in Agroecosystems,23,F,1,3,1,2,1,0.5,3,"This course is an introduction to soil resources with emphasis on management practices that will sustain the productivity of these resources and enhance the quality of the ecosystems of which they are a part. Students will develop a management plan for a farm that will take into account the roles of geological, geomorphological, biological, climatic and temporal factors on the formation, properties and uses of soils. The management plans will be placed in the broader context of provincial policies related to soil, air and water resources and local zoning regulations. ",574,2.50 credits,12,,0,ENVS*2060 or SOIL*2010,22,,0,School of Environmental Sciences,32,,0,,0,684
AGR*2350,8,AGR,3,2350,4,"Animal Production Systems, Health and Industry",46,F,1,3,1,3,1,0.5,3,"This course is designed to introduce the student to the Agri-food system in Ontario, nationally and internationally. All major animal industries will be covered starting from the grocery store and working back to the primary producer. Companion and exotic animals will also be covered. Topics include food, health and wellness (domestic animals and human), nutrition, housing, genetics, reproduction, husbandry practices and processing. . The course includes laboratories and animal production unit tours. ",506,"BIOL*1030 or (2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090)",62,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,667
AGR*2470,8,AGR,3,2470,4,Introduction to Plant Agriculture,33,F,1,3,1,3,1,0.5,3,"The basic principles of plant morphology, nutrition, growth and development will be related to where and how agriculturally significant plants are grown. Agroecosystems and farming systems will be considered as frameworks for crop production analyses. The course uses examples from temperate, sub-tropical and tropical crops and cropping systems. Labs include problem-solving exercises in the context of plant production. ",422,BIOL*1050 or BIOL*1070,22,,0,AGR*2150,8,,0,Department of Plant Agriculture,31,,0,,0,537
AGR*2500,8,AGR,3,2500,4,Field Course in International Agriculture,41,W,1,3,1,0,1,0.5,3,"This course introduces students to a wide range of tropical and subtropical agricultural production systems and issues. The course is comprised of a weekly 3 hour evening lecture and a two week field trip to Costa Rica where students will visit corporate and individual farms, university and government research stations. The field trip occurs during Reading Week in February. This course must be recorded as part of your Winter course selection. The cost of the course is approximately $3200.00 per student, in addition to tuition and compulsory fees. Students must identify their interest in taking this course by contacting the instructor before the October course selection period of the previous year. In order to confirm reservations for travel arrangements a deposit of $300 in the form of a cheque, made payable to the University of Guelph, must be submitted to the Department of Plant Agriculture Undergraduate Program Assistant in the Crop Science building, room 306 by November. Some financial support for travel may be available. ",1042,(AGR*1110 or AGR*1250) or registration in International Development,67,,0,Registration in BSC(AGR) or BA.ID or Minor in Agriculture Instructor consent required.,86,,0,Department of Plant Agriculture,31,,0,,0,1288
AGR*3010,8,AGR,3,3010,4,Special Studies in Agricultural Science I,41,"S,F,W",5,3,1,0,1,0.5,3,A special study option that enables undergraduate students in semesters 5 through 8 to undertake specific projects in agricultural sciences. The topic of the special study will be determined in consultation with an faculty member and the individual student. Students are responsible for making appropriate arrangements with faculty at the departmental and/or college level prior to registration for the course. ,411,10.00 credits,13,,0,Instructor consent required.,28,,0,Department of Plant Agriculture,31,,0,,0,549
AGR*3450,8,AGR,3,3450,4,Research Methods in Agricultural Science,40,F,1,3,1,2,1,0.5,3,"This course provides students with an opportunity to enhance their understanding of the principles and processes of agricultural research. The course will provide students with a foundation in critical thinking, experimental design and data analysis that will be applicable to independent research projects and graduate studies. Students will also explore the practical requirements and limitations of scientific research. Laboratory and field safety, animal care, intellectual property and research ethics will be reviewed. Students will be required to practice both oral presentation and writing skills as core components of their evaluation. ",645,"Completion of 7.50 credits including (1 of GEOG*2460, STAT*2040 , STAT*2060, STAT*2080)",87,,0,"Enrollment in the BSC(AGR), BBRM, BSC.ABIO, BSC.PLSC or Minor in Agriculture.",77,,0,"Department of Plant Agriculture, Department of Animal Biosciences",65,,0,,0,935
AGR*3500,8,AGR,3,3500,4,Experiential Education,22,F,1,3,1,0,1,0.5,3,"Student initiated experiential learning opportunities can be developed as a credit course in consultation with the course instructor. Students who find suitable employment in their chosen industry related to food, agriculture and environment over a summer semester can receive credit while completing the requirements for this course. This course is designed to run from May until November, with registration in the Fall semester. Students must confirm participation in this course by May 1st, prior to starting their summer employment. The course is designed to meet the needs of B.Sc.(Agr.), BBRM and Agricultural Business students. Department of Plant Agriculture. ",668,5.00 credits,12,,0,Instructor consent required.,28,,0,Department of Plant Agriculture,31,,0,,0,782
AGR*4010,8,AGR,3,4010,4,Special Studies in Agricultural Science II,42,"S,F,W",5,3,1,0,1,0.5,3,This special study option enables undergraduate students in semesters 5 through 8 to undertake specific projects in agricultural science. The topic of the special study will be determined in consultation with a faculty member and the individual student. Students are responsible for making appropriate arrangements with faculty member prior to registration for the course. ,373,15.00 credits,13,,0,Instructor consent required.,28,,0,Department of Animal Biosciences,32,,0,,0,513
AGR*4020,8,AGR,3,4020,4,Precision Techniques for Plant Agriculture,42,F,1,3,1,0,1,0.5,3,"This course will be a survey of principles and applications of technologies supporting precision farming and planning for natural resource data management. Topics will include Global positioning system (GPS), yield monitoring and mapping, remote sensing, geographic information system (GIS), variable rate technologies (VRT), data layering, Internet information access, and computer software for management. ",408,"AGR*2470, STAT*2040, (BIOL*1050 or BIOL*1070)",45,,0,,0,,0,Department of Plant Agriculture,31,,0,,0,547
AGR*4450,8,AGR,3,4450,4,Research Project I,18,"S,F,W",5,0,1,12,2,1,1,"This course provides for the independent study of a current topic in agricultural or environmental science designed to encourage senior undergraduates to conduct research. The course includes participation in meetings organized by the coordinator, work with a faculty advisor to develop a research project, formulate hypotheses, design and carry out preliminary experiments to test the hypotheses. Students will carry out independent library research, begin experimental work, prepare a written report and make a presentation to other students in the course of the research plan and preliminary results. Students must make arrangements with both the faculty supervisor and the course coordinator at least one semester before starting the course. This course will normally be followed by AGR*4460 to provide 2 semesters to complete the research project. ",853,10.00 credits,13,,0,"Permission of the course coordinator (contingent on the availability and agreement of a faculty advisor). BSC(Agr) or BSC or BBRM, 70% cumulative average.",154,,0,"Dean's Office, Ontario Agricultural",35,,0,,0,1097
AGR*4460,8,AGR,3,4460,4,Research Project II,19,"S,F,W",5,0,1,12,2,1,1,"Independent study of a current topic in agricultural or environmental science designed to encourage senior undergraduates to conduct research. The focus of this course will be the completion of the research plan developed in AGR*4450 by the student in consultation with a faculty advisor. The course includes participation in meetings organized by the coordinator and meetings with a faculty advisor to review research progress. Students will carry out independent research, prepare a written report of the research findings in a scholarly style and make a presentation to other students in the course of the research results. Open to students in semesters 6, 7 and 8 of the B.SC. (Agr.) or B.Sc. degree program. ",713,AGR*4450,8,,0,Permission of the course coordinator and faculty advisor.,57,,0,"Dean's Office, Ontario Agricultural",35,,0,,0,856
AGR*4600,8,AGR,3,4600,4,Agriculture and Food Issues Problem Solving,43,W,1,3,1,0,1,1,1,"The issues facing the agriculture and food sector are many and varied and relate to the economy, the environment and society. Within these issues there are problems which require thoughtful solutions. Working in teams, with guidance from faculty advisors, students will have an opportunity to develop solutions to real-world problems facing the agriculture and food sector. In the process students will have an opportunity to develop their research, communication, presentation, writing and group work skills. ",510,12.50 credits,13,,0,"Registration in BSC(AGR), BBRM, B.COMM.FAB, B.COMM.FAB:C, BSC.PLSC, or BA.FARE program, or Minor in Agriculture.",112,,0,Department of Plant Agriculture,31,,0,,0,728
ANSC*1210,9,ANSC,4,1210,4,Principles of Animal Care and Welfare,37,W,1,4.5,3,0,1,1,1,Students will be introduced to the major ethical theories that deal with humanity's duties to animals. The relationship of ethics to science will be discussed. Factors that contribute to the quality of life of animals will be considered and methods of assessing animal welfare will be described. Common causes of reduced animal welfare will be covered. The course will also deal with how different cultures approach animal welfare and attempt to regulate it.1 ,460,"1 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090",47,,0,"Registration in BSAG, BSCH. ABIO or BBRM.EQM",44,,0,Department of Animal Biosciences,32,,0,,0,643
ANSC*2340,9,ANSC,4,2340,4,Structure of Farm Animals,25,W,1,3,1,0,1,0.5,3,"This course is an introduction to anatomy and carcass structure of farm animals. Consideration is given to the major systems in the body and the whole range of animal structure from molecular biology to commercial carcass grading. The course provides a basic understanding of factors such as meat tenderness, adipose development in the carcass, abnormalities of meat quality such as PSE pork and dark-cutting beef, and carcass composition. ",440,"2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090",47,,0,,0,,0,Department of Animal Biosciences,32,Also offered through Distance Education format.,47,,0,614
ANSC*3040,9,ANSC,4,3040,4,Animal Reproduction,19,W,1,3,1,3,1,0.5,3,"This course takes a multi-species approach to understanding the basic principles of animal reproduction. Both the anatomy and the physiology of reproductive systems are explored in agricultural, companion and wildlife species with an emphasis on animals under human management. In addition, the development and application of assisted reproductive technologies (ART) for animal management are introduced. ",405,ANSC*3080,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,488
ANSC*3050,9,ANSC,4,3050,4,Aquaculture: Advanced Issues,28,F,1,3,1,0,1,0.5,3,"This course examines the fundamental principles and advanced interdisciplinary issues involved in the farming of aquatic organisms. The course will concentrate primarily on finfish species due to their worldwide commercial importance. Lectures will cover fish physiology, behaviour, nutrition, genetics, water quality, health and disease, reproductive techniques, economic, political and legal issues and various culture technologies. Students will analyze contemporary challenges facing the aquaculture industry through exercises requiring interdisciplinary knowledge, lateral thinking, creative problem solving and bridging science and technology to issues management. ",671,"8.00 credits in biology, including AGR*2350 or ZOO*2090",55,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,809
ANSC*3080,9,ANSC,4,3080,4,Agricultural Animal Physiology,30,F,1,3,1,1.5,3,0.5,3,"This course is an introduction to the physiology of domesticated farm animals. The course will emphasize homeostatic control of the major body systems. The lectures cover the nervous, cardiovascular, respiratory, urinary, immune, endocrine and reproductive systems. The lectures and laboratories are closely integrated. ",320,BIOC*2580 or EQN*2040,21,,0,"Registration in BSC(Agr), BSC.ABIO or BBRM.EQM, Minor in Agriculture.",69,,0,Department of Animal Biosciences,32,,0,,0,497
ANSC*3090,9,ANSC,4,3090,4,Principles of Animal Behaviour,30,F,1,3,1,0,1,0.5,3,"This course deals with why vertebrates behave as they do (with particular emphasis on mammals and birds), covering the causation of behaviour (including learning, motivation, affective states, hormones, sensory processing, and neurobiological mechanisms); function (both immediate/proximate and adaptive/ultimate); ontogeny (including socialization and sensitive periods); and phylogeny (especially the influences of taxonomic group and domestication). This framework is then applied to the following aspects of animal behaviour: foraging, anti-predator responses, sleep, sociality, mating, parental behaviour, play, dispersal and territoriality, animal intelligence, and behavioural pathologies. ",697,ANSC*1210,9,,0,"ANSC*4090, Restricted to students in BSCH.ABIO, BSAG.ANSC and BBRM.EQM",70,,0,Department of Animal Biosciences,32,,0,,0,861
ANSC*3120,9,ANSC,4,3120,4,Introduction to Animal Nutrition,32,F,1,3,1,2,1,0.5,3,This course applies the principles of nutrition to the development of diets and feeding programs for the various species of animals of agricultural importance. ,160,,0,NUTR*3210,9,Registration in BSC(Agr) or BSC.ABIO,36,,0,Department of Animal Biosciences,32,,0,,0,292
ANSC*3170,9,ANSC,4,3170,4,Nutrition of Fish and Crustacea,31,W,1,3,1,0,1,0.5,3,"This course examines growth, digestive and metabolic processes, nutritional requirements and practical feeding programs for fish and crustaceans with an emphasis on those species used in aquaculture. ",200,NUTR*3210,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,295
ANSC*3180,9,ANSC,4,3180,4,Wildlife Nutrition,18,W,1,3,1,0,1,0.5,3,This course is a study of the nutrition of avian and mammalian wildlife with emphasis on North American species and the role of nutrition in survival and population growth of wildlife in their natural habitat. ,210,NUTR*3210,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,292
ANSC*3270,9,ANSC,4,3270,4,Animal Disorders,16,W,1,3,1,0,1,0.5,3,"This course will highlight common causes of infectious, metabolic and psychological/neurological disorders of domestic and companion animals, and their potential impact on animal welfare and production. Disorders will be addressed in the context of pathophysiology, transmission, and prevention strategies involving environmental enrichment, vaccination, biosecurity, nutrition, and genetic selection. ",402,ANSC*3080,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,482
ANSC*4010,9,ANSC,4,4010,4,Animal Welfare Judging and Evaluation,37,F,1,0,1,3,1,0.5,3,This course provides senior level students with a structured opportunity to practice assessing animal welfare using scientific evidence. Students learn to present their evaluations in a logical and persuasive manner. They learn general criteria and approaches used to assess welfare and then apply that knowledge for assessment of four different species in practical settings. ,377,"15.00 credits including ANSC*1210, ANSC*3080",44,ANSC*3090 or ANSC*4090,22,,0,,0,Department of Animal Biosciences,32,,0,,0,535
ANSC*4050,9,ANSC,4,4050,4,Biotechnology in Animal Science,31,F,1,3,1,2,1,0.5,3,"The course will provide an overview of how biotechnology has impacted biomedical science and animal production. Important principles of recombinant DNA, DNA marker identification, stem cell biology, and generation of transgenic animals will be emphasized. The current challenges and potential opportunities in biotechnology will also be discussed. ",348,MBG*2040 or MBG*2400,20,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,454
ANSC*4090,9,ANSC,4,4090,4,Applied Animal Behaviour and Welfare,36,W,1,3,1,0,1,0.5,3,"Students will build upon their basic knowledge of animal behaviour and welfare for in-depth examination of how genetic selection, housing and management practices affect the behaviour, health and well-being of farmed and companion animals. Topics will include effects of domestication and artificial selection on behaviour and health traits, and how early experience affects adaptability, sexual and maternal behaviour. Emphasis is placed on the application of behavioural knowledge to the design of housing and management procedures that promote healthy, productive animals and good welfare. ",593,"ANSC*3080, ANSC*3090",20,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,704
ANSC*4100,9,ANSC,4,4100,4,Applied Environmental Physiology and Animal Housing,51,W,1,3,1,0,1,0.5,3,"Basic concepts of environmental physiology and their application to animal housing and management will be introduced. The course will review the physics of heat flow, light and air quality as they relate to animal biology and health. Other aspects, such as the physical environment, that impact on animal health and well-being will be discussed. ",346,ANSC*3080,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,461
ANSC*4230,9,ANSC,4,4230,4,Challenges and Opportunities in Dairy Cattle Production,55,F,1,0,1,6,1,0.5,3,This course will provide senior level students with experience in working as a team to propose solutions to dairy cattle industry problems. Teams of students will critically assess dairy cattle-related businesses at the farm or industry level under the supervision of a faculty member. ,286,"ANSC*3080, ANSC*3120, MBG*3060",30,,0,Instructor consent required.,28,,0,Department of Animal Biosciences,32,,0,,0,454
ANSC*4260,9,ANSC,4,4260,4,Beef Cattle Nutrition,21,W,1,3,1,2,1,0.5,3,This course is designed for students to evaluate problems in feeding beef cattle. Relevant aspects of digestion and metabolism of nutrients as well as current issues of feeding beef cattle and diagnosing nutritional deficiencies will be included. ,247,ANSC*3120,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,332
ANSC*4270,9,ANSC,4,4270,4,Dairy Cattle Nutrition,22,F,1,3,1,2,1,0.5,3,Students will learn how nutrients are transformed from feed into milk and bodies of dairy animals. There will be an emphasis on feed management on farms and developing skills in formulation and evaluation of rations using computer models. ,239,ANSC*3120,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,325
ANSC*4280,9,ANSC,4,4280,4,Poultry Nutrition,17,F,1,3,1,0,1,0.5,3,"This course is designed to evaluate basic and applied poultry nutrition. Students will learn nutrient requirements of poultry, feeding value of ingredients used in poultry feed formulation and how feeding affects the environment, growth, reproduction, health, and composition of poultry products for human consumption. ",319,ANSC*3120,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,400
ANSC*4290,9,ANSC,4,4290,4,Swine Nutrition,15,F,1,3,1,0,1,0.5,3,This course is designed to explore details of evaluating feed ingredients and formulating diets for swine. Students will use models to evaluate various aspects of nutrient partitioning for growth and reproduction in pigs. ,222,ANSC*3120,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,301
ANSC*4350,9,ANSC,4,4350,4,Experiments in Animal Biology,29,W,1,0,1,6,1,0.5,3,This course provides an opportunity for directed hands-on projects involving live animals and laboratory techniques. A set of selected projects will be provided by Animal Biosciences faculty within their broad fields of study. ,227,14.00 credits including ANSC*3080,33,,0,"Restricted to students in BSCH.ABIO, BSAG.ANSC and BBRM.EQM.  Instructor consent required.",90,,0,Department of Animal Biosciences,32,,0,,0,434
ANSC*4470,9,ANSC,4,4470,4,Animal Metabolism,17,W,1,3,1,0,1,0.5,3,Current concepts in whole animal metabolism and the quantitative techniques used to measure whole body metabolic kinetics will be presented. Tissue and organ specific biochemical processes will be integrated with whole body control mechanisms. ,244,NUTR*3210,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,325
ANSC*4490,9,ANSC,4,4490,4,Applied Endocrinology,21,W,1,3,1,0,1,0.5,3,"This course examines the endocrine systems of farm animals and their applications to improve and monitor the production, performance, behavior and health of livestock. Considerable emphasis will be placed upon understanding how knowledge of endocrine regulation can be applied within animal production systems. ",311,ANSC*3080,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,396
ANSC*4560,9,ANSC,4,4560,4,Pet Nutrition,13,F,1,3,1,0,1,0.5,3,"This course covers nutrient requirements, feed formulation and nutritional idiosyncrasies for dogs, cats, and exotic pets.",122,NUTR*3210,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,199
ANSC*4610,9,ANSC,4,4610,4,Critical Analysis in Animal Science,35,W,1,3,1,0,1,0.5,3,Students are guided to independently research and critically review a topic of emerging importance in animal biosciences. Students select a topic in consultation with the instructor. ,183,15.00 credits including 2.00 in ANSC or EQN,43,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,316
ANSC*4650,9,ANSC,4,4650,4,Comparative Immunology,22,W,1,3,1,0,1,0.5,3,"This course gives an overview of the immune defense mechanisms of domestic species, and to compare common and unique defense strategies developed for resisting microbial and viral infections. Topics include innate and acquired immunity, evolution of the immune system, immunoregulation, and the host response to pathogen invasion. ",331,ANSC*3080,9,,0,,0,,0,Department of Animal Biosciences,32,,0,,0,417
ANSC*4700,9,ANSC,4,4700,4,Research in Animal Biology I,28,"S,F,W",5,6,1,0,1,0.5,3,This course is an opportunity for those students potentially interested in postgraduate studies to work with a committed faculty advisor to research a problem and design experiment(s) that address a solution. Evaluation of the course requires a substantive literature review and to write a research proposal. Selection of a faculty supervisor and approval from course coordinator must be obtained before course selection. ,422,14.00 credits,13,,0,Instructor consent required.,28,,0,Department of Animal Biosciences,32,,0,,0,550
ANSC*4710,9,ANSC,4,4710,4,Research in Animal Biology II,29,"S,F,W",5,0,1,6,1,0.5,3,"This course is a continuation of ANSC*4700, Research in Animal Biology I. It allows more sophisticated projects to be undertaken or to provide an opportunity to build upon the work of ANSC*4700 . Evaluation of the course requires a greater emphasis on data analysis or experimental design than for ANSC*4700. Selection of a faculty advisor and approval of course coordinator must be obtained before course selection. ",417,ANSC*4700,9,,0,Registration in Animal Biology Major or Animal Science Major. Instructor consent required.,90,,0,Department of Animal Biosciences,32,,0,,0,604
ANTH*1120,9,ANTH,4,1120,4,Biological Anthropology,23,F,1,3,1,0,1,0.5,3,"In this course students will be introduced to the central concepts of biological anthropology. Potential topics to be explored include hominid evolution, contemporary human diversity, nutrition and diet, and an introduction of forensic anthropology and paleopathology. ",269,,0,,0,,0,,0,Department of Sociology and,27,,0,,0,342
